title,alternate_names,description,publisher,country,genres,rating_value,rating_count,date_published,keywords,actors,written_by,director,episodes,release_years,url
Eccentric! Chef Moon,"Excêntrico! Chefe de Cozinha Moon, Jemeosdaelo bakangseu, Oddball! Chef Moon, Spoiled Vacation, Unique! Chef Moon, Vacation in My Own Way, Yoo Byul Na! Chef Moon, Yoobyeolna! Chef Moon, Yoobyeolna! Moonshefu, 제멋대로 바캉스","Yoo Yoo Jin, a world-renowned fashion designer, loses her memory and is found in a remote South Korean village. The villagers take her in at the home of former star chef Moon Seung Mo, who has abandoned his culinary career after a tragic accident. Initially resentful, Moon begins to rediscover his passion for cooking as he bonds with Yoo, leading to a possible romance.

(Source: MyDramaList)      Edit Translation         English     हिन्दी     magyar / magyar nyelv     dansk",Channel A,South Korea,"Food, Comedy, Romance, Drama",7.5,1800,27/03/2020,"Amnesia, Cooking, Successful Female Lead, Eccentric Female Lead, Cohabitation, Healing, Village Setting, Countryside Setting, Fashion Designer Female Lead, Restaurateur Male Lead","Eric Mun, Go Won Hee, Cha Jung Won, Kil Hae Yeon, Cha Chung Hwa, Go Do Yeon","Kim Kyung-soo, Jung Yu-ri","Choi Do-hoon, Jung Hyun-soo",16,2020,_
Eden,"Eden Season 1, Eden, Bonneungui Huyedeul, Eden, Descendants of Instinct","The perfect EDEN HOUSE to fall in love! The rules here are the only way to move as your heart is drawn between attraction and condition. The excitement that has been locked explodes here now! Can men and women who found Eden find their mate here?

(Source: Korean = Naver || Translation = MyDramaList)      Edit Translation         English     magyar / magyar nyelv     עברית / עִבְרִית     dansk",_,South Korea,Romance,7.3,1020,14/06/2022,"Summer Setting, Beach Setting, Seaside Setting, Apink, F.T. Island, Dating Show, Multiple Couples, Competition, Reality Show, Friendship","Lee Hong Gi, Yoon Bo Mi, Simeez, Anzardi Timothee, Ju Yang",_,_,_,_,_
"Eight Days, Assassination Attempts against King Jeongjo",Eight Days Mystery of Jeongjo Assassination,"The screenplay is based on the novel Journey (Korean: 원행; RR: Wonhaeng; lit. 'a round trip') written in 2006 by Oh Se-yeong. The background of the action is the 1795 procession organized by King Jeongjo of Joseon for the 60th birthday of his mother, Lady Hyegyŏng that also commemorated the 60th birthday of his deceased father, the Crown Prince Sado. During the eight days period when the Court left the palace for the ceremony, the show introduces several assassination attempts against the King. A first one comes from the Moon In-bang's group (a millenarist sect). But this plot is used by the Noron Faction to pursue its own agenda, attempting an armed suppression against the Sipa Faction and the King as well.",CJ CGV,_,"Period drama, Drama",_,_,"November 17 –
December 16, 2007",_,"Kim Sang-joong, Park Jung-chul, Jung Ae-ri, Lee Seon-ho, Hee Won",Kim Won-seok,Park Jong-won,10,2007,_
"Eighteen, Twenty-Nine","18, 29, 18:29, 18 vs. 29","Yoo Hye-chan (Park Sun-young) is a 29-year-old housewife who's unhappily married to a top acting star, Kang Sang-young (Ryu Soo-young). While on her way to court to file for divorce, a car accident drastically changes her life. Though she physically recovers, retrograde amnesia causes Hye-chan to mentally revert to that of an 18-year-old girl, and she finds everything around her unfamiliar.",KBS2,_,_,_,_,"March 7 –
April 26, 2005",_,"Park Sun-young, Ryu Soo-young","Go Bong-hwang, Kim Kyung-hee","Kim Won-yong, Ham Young-hoon",16,2005,_
Elite League,"Daehakjeonjaeng, University War","The top 1% of students from five prestigious universities in Korea (Seoul National University, KAIST, Pohang University of Science and Technology, Yonsei University, Korea University) participate, and only utilize brain power (mental calculations, calculations, reasoning, games, memorization, etc.) without politics, betrayal, alliances, or deception.

(Source: people.tvtime.com)      Edit Translation         English     हिन्दी     Español     Português (Brasil)",COUPANG TV,South Korea,"Psychological, Life",9,2281,03/11/2023,"School Setting, Battle, Teamwork, University, mathematics, Survival Show, Competition, Reality Show, Game Show",Heo Seong Beom,_,_,_,_,_
Emergency Couple,"Emergency Man and Woman, Eunggeubnamnyeo, O Casal da Emergência, Скорая помощь: Реанимировать любовь","Jin Hee, a dietitian, had a satisfying life until she met medical student Chang Min. Despite his wealthy family's opposition, they married. Chang Min later became a pharmaceutical salesman, straining their relationship further. The disapproval of Chang Min's family made matters worse, leading to their divorce. Afterward, Jin Hee pursued a medical career and became an intern. Chang Min also completed medical school and started working as an intern. Fate reunites them  in the hospital's emergency room, where they must work together.

(Source: MyDramaList)    Edit Translation         English     Русский     Español     Bahasa Indonesia",tvN,South Korea,"Comedy, Romance, Drama, Medical",7.9,26843,24/01/2014,"Bickering Mains' Relationship, Dysfunctional Family, Love/Hate Relationship, Emotionally Strong Female Lead, Workplace Setting, Ex-spouse Relationship, Age Gap [Drama Life], Age Gap [Real Life], Doctor Female Lead, Doctor Male Lead","Song Ji Hyo, Choi Jin Hyuk, Lee Pil Mo, Choi Yeo Jin, Clara Lee, Chun Min Hee",Choi Yoon-jung,Kim Cheol-kyu,21,2014,_
Emperor of the Sea,"God of the Sea, Hae Shin, Haeshin, O Imperador do Mar, Sea God","Jang Bo Go was a slave from Shilla (a Korean dynasty that lasted from 57 B.C. until 935 A.D.) He was sold in China during the Tang Dynasty, where he was trained as a gladiator-slave. Through hard work and perseverance, he makes it back to Shilla and becomes a successful sea merchant. The sea passage at the time was plagued by pirates and Jang Bo Go goes head to head with them  in battles and manages to keep the pirates at bay.  This epic drama tells the story of a historical figure blending it with intrigue and battle of wit to make it into a successful drama of all times.    Edit Translation         English     magyar / magyar nyelv     dansk     Norsk",KBS2,South Korea,"Action, Historical, Drama, War",7.7,1027,24/11/2004,"Silla Dynasty, Emotionally Strong Female Lead, Historical Fiction, Violence, Melodrama","Choi Soo Jong, Song Il Gook, Park Soo Ae, Chae Shi Ra, Kim Heung Soo, Chae Jung An","Jung Jin-ok, Hwang Joo-ha","Kang Il-soo, Kang Byung-taek",51,"2004, 2005",_
Empire of Gold,Golden Empire,"The series is a multi-generational saga that covers a twenty-year span from 1990 to 2010, and follows one chaebol family as it arises out of the ruins of the 1990s IMF financial crisis that wreaked havoc on the South Korean economy, becoming one of the top conglomerates in the nation. Three people become locked in a power struggle for control of this chaebol empire.",SBS TV,_,"Period drama, Political drama, Romance",_,_,"1 July –
17 September 2013",_,"Go Soo, Lee Yo-won, Son Hyun-joo",Park Kyung-soo,Jo Nam-kook,24,2013,_
Empress Cheonchu,The Iron Empress,"The drama is based on the historical Dowager Queen Empress Cheonchu of the Goryeo, who fought against the Liao Dynasty in order to achieve her Grandfather's personal dream of reclaiming old lands lost over the years to other associated tribes and countries such as the Khitans and some Jurchens.",KBS2,_,_,_,_,"January 1 –
September 30, 2009",_,"Chae Shi-ra, Kim Suk-hoon, Choi Jae-sung, Lee Deok-hwa, Kim Ho-jin, Shin Ae","Son Young-mok, Lee Sang-min, Kang Young-ran","Shin Chang-suk, Hwang In-hyuk",78,2009,_
Empress Ki,"Battle of Flowers, Gi Hwang-hu, Hwatu, Qi Empress, The Empress Ki, 화투","Genghis Khan built an empire that spanned vast regions in East Asia and East Europe. And there was one woman who held immense power in the Yuan Dynasty, which Genghis Khan founded, for 37 years. She was neither of Mongol descent nor from the Han Chinese. She came from Goryeo, a small kingdom in the Far East. She was taken to Mongol against her will as a Gungnyeo (palace women) but somehow  overcame her lowly status to become the last  empress in another land. Her name was Empress Ki.

(Source: MBC)    Edit Translation         English     Arabic     Русский     Ελληνικά",MBC,South Korea,"Historical, Romance, Melodrama, Political",8.5,19849,28/10/2013,"Smart Female Lead, Power Struggle, Political Intrigue, Love Triangle, Possessive Male Lead, Yuan Dynasty, Revenge, Cross-Dressing, Goryeo Dynasty, Harem","Ha Ji Won, Joo Jin Mo, Ji Chang Wook, Baek Jin Hee, Jin Yi Han, Kim Seo Hyung",_,_,_,_,_
